ID,Name,Category,Gender,Follower_Count,Platform
1,A Sharma,Fitness,M,120000,Instagram
2,L Verma,Health,F,85000,YouTube
3,R Singh,Nutrition,M,31000,Instagram
4,S Iyer,Wellness,F,75000,Twitter
5,N Kumar,Fitness,M,98000,YouTube
6,T Desai,Nutrition,F,65000,Instagram
7,M Mehta,Wellness,F,72000,Twitter
8,P Joshi,Health,M,81000,YouTube
9,K Patel,Fitness,M,105000,Instagram
10,D Roy,Nutrition,F,29000,Twitter
11,V Gupta,Wellness,F,58000,Instagram
12,S Malhotra,Health,M,94000,YouTube
13,A Bhatia,Nutrition,M,33000,Instagram
14,R Chauhan,Fitness,F,101000,Twitter
15,K Reddy,Wellness,M,47000,YouTube
