influencer_id,platform,date,url,caption,reach,likes,comments
1,Instagram,2025-06-02,http://short.url/1,"Stay Strong!",40000,3200,215
2,YouTube,2025-07-05,http://short.url/2,"Wellness Tips",15000,1120,45
3,Instagram,2025-07-01,http://short.url/3,"Go Green!",10200,940,63
4,Twitter,2025-06-08,http://short.url/4,"Mindful Monday",5000,300,20
5,YouTube,2025-07-15,http://short.url/5,"Cardio Boost",22200,1500,98
6,Instagram,2025-08-03,http://short.url/6,"Protein Power",32000,2500,170
7,Twitter,2025-08-14,http://short.url/7,"Stay Hydrated",8700,420,33
8,YouTube,2025-07-18,http://short.url/8,"Daily Yoga",13900,800,54
9,Instagram,2025-08-21,http://short.url/9,"Run Fast!",28000,1980,122
10,Twitter,2025-07-27,http://short.url/10,"Fruit Snacks",7600,400,29
11,Instagram,2025-08-30,http://short.url/11,"Wellness Journey",12000,900,60
12,YouTube,2025-09-04,http://short.url/12,"Healthy Heart",15700,950,58
13,Instagram,2025-09-01,http://short.url/13,"Fit Life",14200,1100,70
14,Twitter,2025-09-07,http://short.url/14,"Stay Active",7300,410,35
15,YouTube,2025-09-10,http://short.url/15,"Sleep Secrets",18300,1200,87
